376 US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900
377 US-2016-134656,9/28/2016,10-01-2016,First Class,MM-18280
378 US-2017-134481,8/27/2017,09-01-2017,Standard Class,AR-10405
379 CA-2015-130792,4/28/2015,05-05-2015,Standard Class,RA-19915
380 CA-2015-130792,4/28/2015,05-05-2015,Standard Class,RA-19915
381 CA-2015-130792,4/28/2015,05-05-2015,Standard Class,RA-19915
382 CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285
383 CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285
384 CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780
385 US-2015-168935,11/27/2015,12-02-2015,Standard Class,DO-13435
386 US-2015-168935,11/27/2015,12-02-2015,Standard Class,DO-13435
387 CA-2015-122756,12-03-2015,12-07-2015,Standard Class,DK-13225
388 CA-2015-122756,12-03-2015,12-07-2015,Standard Class,DK-13225
389 CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430
390 CA-2017-101798,12-11-2017,12/15/2017,Standard Class,MV-18190
391 CA-2017-101798,12-11-2017,12/15/2017,Standard Class,MV-18190
392 US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115
393 US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115
394 US-2014-134971,06-07-2014,06-10-2014,Second Class,BP-11095
395 CA-2017-102946,6/30/2017,07-05-2017,Standard Class,VP-21730
396 CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140
397 CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140
398 CA-2015-122259,10/31/2015,11-04-2015,Standard Class,HP-14815
399 CA-2016-108987,09-08-2016,09-10-2016,Second Class,AG-10675
400 CA-2016-108987,09-08-2016,09-10-2016,Second Class,AG-10675
401 CA-2016-108987,09-08-2016,09-10-2016,Second Class,AG-10675
402 CA-2016-108987,09-08-2016,09-10-2016,Second Class,AG-10675
403 CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185
404 CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650
405 CA-2017-117933,12/24/2017,12/29/2017,Standard Class,RF-19840
406 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
407 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
408 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
409 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
410 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
411 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
412 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
413 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
414 CA-2017-117457,12-08-2017,12-12-2017,Standard Class,KH-16510
415 CA-2017-142636,11-03-2017,11-07-2017,Standard Class,KC-16675
416 CA-2017-142636,11-03-2017,11-07-2017,Standard Class,KC-16675
417 CA-2017-122105,6/24/2017,6/28/2017,Standard Class,CJ-12010
418 CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150
419 CA-2017-154816,11-06-2017,11-10-2017,Standard Class,VB-21745
420 CA-2017-110478,03-04-2017,03-09-2017,Standard Class,SP-20860
421 CA-2017-110478,03-04-2017,03-09-2017,Standard Class,SP-20860
422 CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745
423 CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965
,,Page 8,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
424 CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965
425 CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385
426 CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265
427 CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265
428 CA-2014-101476,09-12-2014,9/13/2014,First Class,SD-20485
429 CA-2017-152275,10-01-2017,10-08-2017,Standard Class,KH-16630
430 US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
431 US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
432 US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
433 US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795
434 CA-2016-127369,06-06-2016,06-07-2016,First Class,DB-13060
435 US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160
436 US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160
437 CA-2016-147375,06-12-2016,6/14/2016,Second Class,PO-19180
438 CA-2016-147375,06-12-2016,6/14/2016,Second Class,PO-19180
439 CA-2017-130043,9/15/2017,9/19/2017,Standard Class,BB-11545
440 CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805
441 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
442 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
443 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
444 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
445 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
446 CA-2016-115756,09-05-2016,09-07-2016,Second Class,PK-19075
447 CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595
448 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
449 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
450 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
451 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
452 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
453 CA-2016-166674,04-01-2016,04-03-2016,Second Class,RB-19360
454 CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705
455 CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705
456 CA-2016-100153,12/13/2016,12/17/2016,Standard Class,KH-16630
457 US-2014-110674,02-12-2014,2/18/2014,Standard Class,SC-20095
458 US-2016-157945,9/26/2016,10-01-2016,Standard Class,NF-18385
459 US-2016-157945,9/26/2016,10-01-2016,Standard Class,NF-18385
460 CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985
461 CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985
462 CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985
463 CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
464 CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
465 CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
466 CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
467 CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
468 US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940
469 CA-2017-154907,3/31/2017,04-04-2017,Standard Class,DS-13180
470 US-2016-100419,12/16/2016,12/20/2016,Second Class,CC-12670
471 CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785
472 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
473 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
474 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
475 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
476 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
,,Page 9,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
477 CA-2014-144666,11-09-2014,11-11-2014,Second Class,JP-15520
478 CA-2016-103891,07-12-2016,7/19/2016,Standard Class,KH-16690
479 CA-2016-152632,10/27/2016,11-02-2016,Standard Class,JE-15475
480 CA-2016-100790,6/26/2016,07-02-2016,Standard Class,JG-15805
481 CA-2016-100790,6/26/2016,07-02-2016,Standard Class,JG-15805
482 CA-2014-134677,10-06-2014,10-10-2014,Standard Class,XP-21865
483 CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065
484 CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065
485 CA-2017-140963,06-10-2017,6/13/2017,First Class,MT-18070
486 CA-2017-140963,06-10-2017,6/13/2017,First Class,MT-18070
487 CA-2017-140963,06-10-2017,6/13/2017,First Class,MT-18070
488 CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830
489 CA-2014-133753,06-09-2014,6/13/2014,Second Class,CW-11905
490 CA-2014-133753,06-09-2014,6/13/2014,Second Class,CW-11905
491 CA-2014-133753,06-09-2014,6/13/2014,Second Class,CW-11905
492 CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960
493 CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960
494 CA-2016-169166,05-09-2016,5/14/2016,Standard Class,SS-20590
495 US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780
496 CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350
497 CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
498 CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
499 CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
500 CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095
501 US-2016-105578,5/30/2016,06-04-2016,Standard Class,MY-17380
502 US-2016-105578,5/30/2016,06-04-2016,Standard Class,MY-17380
503 US-2016-105578,5/30/2016,06-04-2016,Standard Class,MY-17380
504 US-2016-105578,5/30/2016,06-04-2016,Standard Class,MY-17380
505 US-2016-105578,5/30/2016,06-04-2016,Standard Class,MY-17380
506 CA-2017-134978,11-12-2017,11/15/2017,Second Class,EB-13705
507 CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
508 CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
509 CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
510 CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385
511 CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245
512 CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245
513 CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185
514 CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515
515 CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515
516 CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
517 CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
518 CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
519 CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180
520 CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210
521 CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210
522 CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210
523 CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605
524 US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155
525 US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155
526 CA-2015-158792,12/26/2015,01-02-2016,Standard Class,BD-11605
527 CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
528 CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790
529 US-2015-138303,09-03-2015,09-07-2015,Standard Class,MG-18145
,,Page 10,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
530 US-2015-138303,09-03-2015,09-07-2015,Standard Class,MG-18145
531 US-2015-138303,09-03-2015,09-07-2015,Standard Class,MG-18145
532 CA-2015-102848,11-07-2015,11-09-2015,Second Class,KB-16240
533 US-2017-129441,09-07-2017,09-11-2017,Standard Class,JC-15340
534 CA-2016-168753,5/29/2016,06-01-2016,Second Class,RL-19615
535 CA-2016-168753,5/29/2016,06-01-2016,Second Class,RL-19615
536 CA-2016-126613,07-10-2016,7/16/2016,Standard Class,AA-10375
537 US-2017-122637,09-03-2017,09-08-2017,Second Class,EP-13915
538 CA-2015-147851,12-03-2015,12-08-2015,Standard Class,MP-17470
539 CA-2015-134894,12-07-2015,12-11-2015,Standard Class,DK-12985
540 CA-2015-134894,12-07-2015,12-11-2015,Standard Class,DK-12985
541 CA-2014-140795,02-01-2014,02-03-2014,First Class,BD-11500
542 CA-2016-136924,7/14/2016,7/17/2016,First Class,ES-14080
543 US-2015-120161,12/18/2015,12/23/2015,Standard Class,LM-17065
544 CA-2014-103849,05-11-2014,5/16/2014,Standard Class,PG-18895
545 CA-2014-103849,05-11-2014,5/16/2014,Standard Class,PG-18895
546 CA-2014-103849,05-11-2014,5/16/2014,Standard Class,PG-18895
547 CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135
548 CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135
549 CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225
550 CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225
551 CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225
552 CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320
553 CA-2017-112774,09-11-2017,09-12-2017,First Class,RC-19960
554 CA-2017-101945,11/24/2017,11/28/2017,Standard Class,GT-14710
555 CA-2017-100650,6/29/2017,07-03-2017,Second Class,DK-13225
556 CA-2014-155852,03-03-2014,03-07-2014,Second Class,AJ-10945
557 CA-2016-113243,06-10-2016,6/15/2016,Standard Class,OT-18730
558 CA-2016-113243,06-10-2016,6/15/2016,Standard Class,OT-18730
559 CA-2016-113243,06-10-2016,6/15/2016,Standard Class,OT-18730
560 CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080
561 CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080
562 CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775
563 CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775
564 CA-2015-130736,12-07-2015,12-09-2015,First Class,JF-15490
565 CA-2015-130736,12-07-2015,12-09-2015,First Class,JF-15490
566 CA-2017-137099,12-07-2017,12-10-2017,First Class,FP-14320
567 CA-2017-156951,10-01-2017,10-08-2017,Standard Class,EB-13840
568 CA-2017-156951,10-01-2017,10-08-2017,Standard Class,EB-13840
569 CA-2017-156951,10-01-2017,10-08-2017,Standard Class,EB-13840
570 CA-2017-156951,10-01-2017,10-08-2017,Standard Class,EB-13840
571 CA-2017-164826,12/28/2017,01-04-2018,Standard Class,JF-15415
572 CA-2017-164826,12/28/2017,01-04-2018,Standard Class,JF-15415
573 CA-2017-164826,12/28/2017,01-04-2018,Standard Class,JF-15415
574 CA-2017-164826,12/28/2017,01-04-2018,Standard Class,JF-15415
575 CA-2016-127250,11-03-2016,11-07-2016,Standard Class,SF-20200
576 CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640
577 CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640
578 CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640
579 CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950
580 CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950
581 CA-2015-132906,09-10-2015,9/14/2015,Standard Class,CC-12145
582 CA-2017-145233,12-01-2017,12-05-2017,Standard Class,DV-13465
,,Page 11,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
583 CA-2017-145233,12-01-2017,12-05-2017,Standard Class,DV-13465
584 CA-2017-145233,12-01-2017,12-05-2017,Standard Class,DV-13465
585 CA-2017-145233,12-01-2017,12-05-2017,Standard Class,DV-13465
586 CA-2017-145233,12-01-2017,12-05-2017,Standard Class,DV-13465
587 CA-2015-128139,07-03-2015,07-09-2015,Standard Class,BD-11725
588 CA-2015-128139,07-03-2015,07-09-2015,Standard Class,BD-11725
589 US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
590 US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
591 US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
592 US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910
593 CA-2014-135405,01-09-2014,1/13/2014,Standard Class,MS-17830
594 CA-2014-135405,01-09-2014,1/13/2014,Standard Class,MS-17830
595 CA-2014-131450,08-08-2014,8/15/2014,Standard Class,LR-16915
596 CA-2014-131450,08-08-2014,8/15/2014,Standard Class,LR-16915
597 CA-2014-131450,08-08-2014,8/15/2014,Standard Class,LR-16915
598 CA-2014-131450,08-08-2014,8/15/2014,Standard Class,LR-16915
599 CA-2016-120180,7/14/2016,7/16/2016,First Class,TP-21130
600 US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205
601 US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205
602 US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205
603 CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
604 CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
605 CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
606 CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
607 CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240
608 US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510
609 US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510
610 US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510
611 CA-2016-161816,4/28/2016,05-01-2016,First Class,NB-18655
612 CA-2016-161816,4/28/2016,05-01-2016,First Class,NB-18655
613 CA-2016-121223,09-11-2016,9/13/2016,Second Class,GD-14590
614 CA-2016-121223,09-11-2016,9/13/2016,Second Class,GD-14590
615 CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595
616 CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595
617 CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
618 CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
619 CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
620 CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
621 CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355
622 US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265
623 CA-2015-138009,11/29/2015,12-03-2015,Standard Class,SF-20965
624 CA-2015-138009,11/29/2015,12-03-2015,Standard Class,SF-20965
625 CA-2015-138009,11/29/2015,12-03-2015,Standard Class,SF-20965
626 CA-2015-138009,11/29/2015,12-03-2015,Standard Class,SF-20965
627 CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800
628 CA-2017-153787,5/19/2017,5/23/2017,Standard Class,AT-10735
629 CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140
630 CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140
631 US-2016-135720,12-11-2016,12/13/2016,Second Class,FM-14380
632 US-2016-135720,12-11-2016,12/13/2016,Second Class,FM-14380
633 US-2016-135720,12-11-2016,12/13/2016,Second Class,FM-14380
634 CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605
635 CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605
,,Page 12,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
636 CA-2015-168004,10-04-2015,10-09-2015,Second Class,DJ-13420
637 US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725
638 US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725
639 CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465
640 CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465
641 CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150
642 CA-2017-167913,7/30/2017,08-03-2017,Second Class,JL-15835
643 CA-2017-167913,7/30/2017,08-03-2017,Second Class,JL-15835
644 CA-2017-106103,06-10-2017,6/15/2017,Standard Class,SC-20305
645 US-2017-127719,7/21/2017,7/25/2017,Standard Class,TW-21025
646 CA-2017-126221,12/30/2017,01-05-2018,Standard Class,CC-12430
647 CA-2016-103947,04-01-2016,04-08-2016,Standard Class,BB-10990
648 CA-2016-103947,04-01-2016,04-08-2016,Standard Class,BB-10990
649 CA-2016-160745,12-11-2016,12/16/2016,Second Class,AR-10825
650 CA-2016-160745,12-11-2016,12/16/2016,Second Class,AR-10825
651 CA-2016-160745,12-11-2016,12/16/2016,Second Class,AR-10825
652 CA-2016-132661,10/23/2016,10/29/2016,Standard Class,SR-20740
653 CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405
654 CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405
655 CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730
656 CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730
657 CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730
658 US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125
659 US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125
660 CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
661 CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
662 CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
663 CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025
664 CA-2016-123666,3/26/2016,3/30/2016,Standard Class,SP-20545
665 CA-2016-143308,11-04-2016,11-04-2016,Same Day,RC-19825
666 CA-2017-132682,06-08-2017,06-10-2017,Second Class,TH-21235
667 CA-2017-132682,06-08-2017,06-10-2017,Second Class,TH-21235
668 CA-2017-132682,06-08-2017,06-10-2017,Second Class,TH-21235
669 CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390
670 US-2017-106663,06-09-2017,6/13/2017,Standard Class,MO-17800
671 US-2017-106663,06-09-2017,6/13/2017,Standard Class,MO-17800
672 US-2017-106663,06-09-2017,6/13/2017,Standard Class,MO-17800
673 CA-2017-111178,6/15/2017,6/22/2017,Standard Class,TD-20995
674 CA-2017-130351,12-05-2017,12-08-2017,First Class,RB-19570
675 CA-2017-130351,12-05-2017,12-08-2017,First Class,RB-19570
676 CA-2017-130351,12-05-2017,12-08-2017,First Class,RB-19570
677 US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
678 US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
679 US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
680 US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980
681 CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630
682 CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630
683 CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630
684 US-2017-168116,11-04-2017,11-04-2017,Same Day,GT-14635
685 US-2017-168116,11-04-2017,11-04-2017,Same Day,GT-14635
686 CA-2014-157784,07-05-2014,07-08-2014,First Class,MC-17845
687 CA-2014-157784,07-05-2014,07-08-2014,First Class,MC-17845
688 CA-2014-157784,07-05-2014,07-08-2014,First Class,MC-17845
,,Page 13,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
689 CA-2017-161480,12/25/2017,12/29/2017,Standard Class,RA-19285
690 US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
691 US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
692 US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325
693 CA-2015-131534,3/28/2015,04-02-2015,Standard Class,AB-10165
694 CA-2015-131534,3/28/2015,04-02-2015,Standard Class,AB-10165
695 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
696 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
697 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
698 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
699 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
700 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
701 CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550
702 CA-2017-114552,09-02-2017,09-08-2017,Standard Class,Dl-13600
703 CA-2016-163755,11-04-2016,11-08-2016,Second Class,AS-10285
704 CA-2015-142027,04-09-2015,4/14/2015,Standard Class,JK-15370
705 CA-2014-138527,09-12-2014,9/17/2014,Standard Class,BN-11470
706 CA-2014-138527,09-12-2014,9/17/2014,Standard Class,BN-11470
707 CA-2014-138527,09-12-2014,9/17/2014,Standard Class,BN-11470
708 CA-2014-112158,12-02-2014,12-04-2014,First Class,DP-13165
709 CA-2014-112158,12-02-2014,12-04-2014,First Class,DP-13165
710 CA-2014-112158,12-02-2014,12-04-2014,First Class,DP-13165
711 CA-2014-113887,04-05-2014,04-07-2014,First Class,TH-21550
712 CA-2017-146136,09-03-2017,09-07-2017,Standard Class,AP-10915
713 US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765
714 US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765
715 US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765
716 CA-2014-153150,07-01-2014,07-06-2014,Second Class,Dl-13600
717 CA-2014-130092,01-11-2014,1/14/2014,First Class,SV-20365
718 CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540
719 CA-2014-104472,06-02-2014,06-07-2014,Standard Class,CK-12325
720 CA-2014-104472,06-02-2014,06-07-2014,Standard Class,CK-12325
721 CA-2016-112942,2/13/2016,2/18/2016,Standard Class,RD-19810
722 CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965
723 CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965
724 CA-2014-117429,10-07-2014,10/13/2014,Standard Class,MR-17545
725 CA-2016-114713,07-07-2016,07-12-2016,Standard Class,SC-20695
726 CA-2017-144113,9/16/2017,9/20/2017,Standard Class,JF-15355
727 CA-2017-144113,9/16/2017,9/20/2017,Standard Class,JF-15355
728 US-2016-150861,12-03-2016,12-06-2016,First Class,EG-13900
729 US-2016-150861,12-03-2016,12-06-2016,First Class,EG-13900
730 US-2016-150861,12-03-2016,12-06-2016,First Class,EG-13900
731 US-2016-150861,12-03-2016,12-06-2016,First Class,EG-13900
732 US-2016-150861,12-03-2016,12-06-2016,First Class,EG-13900
733 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
734 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
735 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
736 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
737 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
738 CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030
739 CA-2014-132500,09-08-2014,09-12-2014,Standard Class,GZ-14470
740 CA-2014-112326,01-04-2014,01-08-2014,Standard Class,PO-19195
741 CA-2014-112326,01-04-2014,01-08-2014,Standard Class,PO-19195
,,Page 14,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
742 CA-2014-112326,01-04-2014,01-08-2014,Standard Class,PO-19195
743 US-2016-146710,8/27/2016,09-01-2016,Standard Class,SS-20875
744 US-2016-146710,8/27/2016,09-01-2016,Standard Class,SS-20875
745 US-2016-146710,8/27/2016,09-01-2016,Standard Class,SS-20875
746 US-2016-146710,8/27/2016,09-01-2016,Standard Class,SS-20875
747 CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785
748 CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785
749 CA-2016-150889,3/20/2016,3/22/2016,Second Class,PB-19105
750 CA-2017-126074,10-02-2017,10-06-2017,Standard Class,RF-19735
751 CA-2017-126074,10-02-2017,10-06-2017,Standard Class,RF-19735
752 CA-2017-126074,10-02-2017,10-06-2017,Standard Class,RF-19735
753 CA-2017-126074,10-02-2017,10-06-2017,Standard Class,RF-19735
